CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,high_spender
1,Male,19.0,15.0,39.0,0
2,Male,21.0,15.0,81.0,1
3,Female,20.0,16.0,6.0,0
4,Female,23.0,16.0,77.0,1
5,Female,31.0,17.0,40.0,0
6,Female,22.0,17.0,76.0,1
7,Female,35.0,18.0,6.0,0
8,Female,23.0,18.0,94.0,1
9,Male,64.0,19.0,3.0,0
10,Female,30.0,19.0,72.0,1
11,Male,67.0,19.0,14.0,0
12,Female,35.0,19.0,99.0,1
13,Female,58.0,20.0,15.0,0
14,Female,24.0,20.0,77.0,1
15,Male,37.0,20.0,13.0,0
16,Male,22.0,20.0,79.0,1
17,Female,35.0,21.0,35.0,0
18,Male,20.0,21.0,66.0,1
19,Male,52.0,23.0,29.0,0
20,Female,35.0,23.0,98.0,1
21,Male,35.0,24.0,35.0,0
22,Male,25.0,24.0,73.0,1
23,Female,46.0,25.0,5.0,0
24,Male,31.0,25.0,73.0,1
25,Female,54.0,28.0,14.0,0
26,Male,29.0,28.0,82.0,1
27,Female,45.0,28.0,32.0,0
28,Male,35.0,28.0,61.0,1
29,Female,40.0,29.0,31.0,0
30,Female,23.0,29.0,87.0,1
31,Male,60.0,30.0,4.0,0
32,Female,21.0,30.0,73.0,1
33,Male,53.0,33.0,4.0,0
34,Male,18.0,33.0,92.0,1
35,Female,49.0,33.0,14.0,0
36,Female,21.0,33.0,81.0,1
37,Female,42.0,34.0,17.0,0
38,Female,30.0,34.0,73.0,1
39,Female,36.0,37.0,26.0,0
40,Female,20.0,37.0,75.0,1
41,Female,65.0,38.0,35.0,0
42,Male,24.0,38.0,92.0,1
43,Male,48.0,39.0,36.0,0
44,Female,31.0,39.0,61.0,1
45,Female,49.0,39.0,28.0,0
46,Female,24.0,39.0,65.0,1
47,Female,50.0,40.0,55.0,1
48,Female,27.0,40.0,47.0,0
49,Female,29.0,40.0,42.0,0
50,Female,31.0,40.0,42.0,0
51,Female,49.0,42.0,52.0,1
52,Male,33.0,42.0,60.0,1
53,Female,31.0,43.0,54.0,1
54,Male,59.0,43.0,60.0,1
55,Female,50.0,43.0,45.0,0
56,Male,47.0,43.0,41.0,0
57,Female,51.0,44.0,50.0,1
58,Male,69.0,44.0,46.0,0
59,Female,27.0,46.0,51.0,1
60,Male,53.0,46.0,46.0,0
61,Male,70.0,46.0,56.0,1
62,Male,19.0,46.0,55.0,1
63,Female,67.0,47.0,52.0,1
64,Female,54.0,47.0,59.0,1
65,Male,63.0,48.0,51.0,1
66,Male,18.0,48.0,59.0,1
67,Female,43.0,48.0,50.0,1
68,Female,68.0,48.0,48.0,0
69,Male,19.0,48.0,59.0,1
70,Female,32.0,48.0,47.0,0
