CustomerID,Age,Annual_Income_(k$),Spending_Score,high_spender,income_per_age,income_score_ratio,age_group,income_tier,is_young_adult,is_high_earner,Genre_Female,Genre_Male
1,19.0,15.0,39.0,0,0.789,0.375,young,low,1,0,0,1
2,21.0,15.0,81.0,1,0.714,0.183,young,low,1,0,0,1
3,20.0,16.0,6.0,0,0.8,2.286,young,low,1,0,1,0
4,23.0,16.0,77.0,1,0.696,0.205,young,low,1,0,1,0
5,31.0,17.0,40.0,0,0.548,0.415,middle,low,0,0,1,0
6,22.0,17.0,76.0,1,0.773,0.221,young,low,1,0,1,0
7,35.0,18.0,6.0,0,0.514,2.571,middle,low,0,0,1,0
8,23.0,18.0,94.0,1,0.783,0.189,young,low,1,0,1,0
9,64.0,19.0,3.0,0,0.297,4.75,senior,low,0,0,0,1
10,30.0,19.0,72.0,1,0.633,0.26,middle,low,1,0,1,0
11,67.0,19.0,14.0,0,0.284,1.267,senior,low,0,0,0,1
12,35.0,19.0,99.0,1,0.543,0.19,middle,low,0,0,1,0
13,58.0,20.0,15.0,0,0.345,1.25,senior,low,0,0,1,0
14,24.0,20.0,77.0,1,0.833,0.256,young,low,1,0,1,0
15,37.0,20.0,13.0,0,0.541,1.429,middle,low,0,0,0,1
16,22.0,20.0,79.0,1,0.909,0.25,young,low,1,0,0,1
17,35.0,21.0,35.0,0,0.6,0.583,middle,low,0,0,1,0
18,20.0,21.0,66.0,1,1.05,0.313,young,low,1,0,0,1
19,52.0,23.0,29.0,0,0.442,0.767,senior,low,0,0,0,1
20,35.0,23.0,98.0,1,0.657,0.232,middle,low,0,0,1,0
21,35.0,24.0,35.0,0,0.686,0.667,middle,low,0,0,0,1
22,25.0,24.0,73.0,1,0.96,0.324,young,low,1,0,0,1
23,46.0,25.0,5.0,0,0.543,4.167,senior,low,0,0,1,0
24,31.0,25.0,73.0,1,0.806,0.338,middle,low,0,0,0,1
25,54.0,28.0,14.0,0,0.519,1.867,senior,low,0,0,1,0
26,29.0,28.0,82.0,1,0.966,0.337,middle,low,1,0,0,1
27,45.0,28.0,32.0,0,0.622,0.848,middle,low,0,0,1,0
28,35.0,28.0,61.0,1,0.8,0.452,middle,low,0,0,0,1
29,40.0,29.0,31.0,0,0.725,0.906,middle,low,0,0,1,0
30,23.0,29.0,87.0,1,1.261,0.33,young,low,1,0,1,0
31,60.0,30.0,4.0,0,0.5,6.0,senior,low,0,0,0,1
32,21.0,30.0,73.0,1,1.429,0.405,young,low,1,0,1,0
33,53.0,33.0,4.0,0,0.623,6.6,senior,low,0,0,0,1
34,18.0,33.0,92.0,1,1.833,0.355,young,low,1,0,0,1
35,49.0,33.0,14.0,0,0.673,2.2,senior,low,0,0,1,0
36,21.0,33.0,81.0,1,1.571,0.402,young,low,1,0,1,0
37,42.0,34.0,17.0,0,0.81,1.889,middle,low,0,0,1,0
38,30.0,34.0,73.0,1,1.133,0.459,middle,low,1,0,1,0
39,36.0,37.0,26.0,0,1.028,1.37,middle,low,0,0,1,0
40,20.0,37.0,75.0,1,1.85,0.487,young,low,1,0,1,0
41,65.0,38.0,35.0,0,0.585,1.056,senior,low,0,0,1,0
42,24.0,38.0,92.0,1,1.583,0.409,young,low,1,0,0,1
43,48.0,39.0,36.0,0,0.812,1.054,senior,low,0,0,0,1
44,31.0,39.0,61.0,1,1.258,0.629,middle,low,0,0,1,0
45,49.0,39.0,28.0,0,0.796,1.345,senior,low,0,0,1,0
46,24.0,39.0,65.0,1,1.625,0.591,young,low,1,0,1,0
47,50.0,40.0,55.0,1,0.8,0.714,senior,low,0,0,1,0
48,27.0,40.0,47.0,0,1.481,0.833,middle,low,1,0,1,0
49,29.0,40.0,42.0,0,1.379,0.93,middle,low,1,0,1,0
50,31.0,40.0,42.0,0,1.29,0.93,middle,low,0,0,1,0
51,49.0,42.0,52.0,1,0.857,0.792,senior,mid,0,0,1,0
52,33.0,42.0,60.0,1,1.273,0.689,middle,mid,0,0,0,1
53,31.0,43.0,54.0,1,1.387,0.782,middle,mid,0,0,1,0
54,59.0,43.0,60.0,1,0.729,0.705,senior,mid,0,0,0,1
55,50.0,43.0,45.0,0,0.86,0.935,senior,mid,0,0,1,0
56,47.0,43.0,41.0,0,0.915,1.024,senior,mid,0,0,0,1
57,51.0,44.0,50.0,1,0.863,0.863,senior,mid,0,0,1,0
58,69.0,44.0,46.0,0,0.638,0.936,senior,mid,0,0,0,1
59,27.0,46.0,51.0,1,1.704,0.885,middle,mid,1,0,1,0
60,53.0,46.0,46.0,0,0.868,0.979,senior,mid,0,0,0,1
61,70.0,46.0,56.0,1,0.657,0.807,senior,mid,0,0,0,1
62,19.0,46.0,55.0,1,2.421,0.821,young,mid,1,0,0,1
63,67.0,47.0,52.0,1,0.701,0.887,senior,mid,0,0,1,0
64,54.0,47.0,59.0,1,0.87,0.783,senior,mid,0,0,1,0
65,63.0,48.0,51.0,1,0.762,0.923,senior,mid,0,0,0,1
66,18.0,48.0,59.0,1,2.667,0.8,young,mid,1,0,0,1
67,43.0,48.0,50.0,1,1.116,0.941,middle,mid,0,0,1,0
68,68.0,48.0,48.0,0,0.706,0.98,senior,mid,0,0,1,0
69,19.0,48.0,59.0,1,2.526,0.8,young,mid,1,0,0,1
70,32.0,48.0,47.0,0,1.5,1.0,middle,mid,0,0,1,0
71,70.0,49.0,55.0,1,0.7,0.875,senior,mid,0,0,0,1
72,47.0,49.0,42.0,0,1.043,1.14,senior,mid,0,0,1,0
73,60.0,50.0,49.0,0,0.833,1.0,senior,mid,0,0,1,0
74,60.0,50.0,56.0,1,0.833,0.877,senior,mid,0,0,1,0
75,59.0,54.0,47.0,0,0.915,1.125,senior,mid,0,0,0,1
76,26.0,54.0,54.0,1,2.077,0.982,middle,mid,1,0,0,1
77,45.0,54.0,53.0,1,1.2,1.0,middle,mid,0,0,1,0
78,40.0,54.0,48.0,0,1.35,1.102,middle,mid,0,0,0,1
79,23.0,54.0,52.0,1,2.348,1.019,young,mid,1,0,1,0
80,49.0,54.0,42.0,0,1.102,1.256,senior,mid,0,0,1,0
81,57.0,54.0,51.0,1,0.947,1.038,senior,mid,0,0,0,1
82,38.0,54.0,55.0,1,1.421,0.964,middle,mid,0,0,0,1
83,67.0,54.0,41.0,0,0.806,1.286,senior,mid,0,0,0,1
84,46.0,54.0,44.0,0,1.174,1.2,senior,mid,0,0,1,0
85,21.0,54.0,57.0,1,2.571,0.931,young,mid,1,0,1,0
86,48.0,54.0,46.0,0,1.125,1.149,senior,mid,0,0,0,1
87,55.0,57.0,58.0,1,1.036,0.966,senior,mid,0,0,1,0
88,22.0,57.0,55.0,1,2.591,1.018,young,mid,1,0,1,0
89,34.0,58.0,60.0,1,1.706,0.951,middle,mid,0,0,1,0
