Name,Features,Price,Quantity
"Plum 10% Niacinamide Brightening Face Serum with Rice Water,... ₹560 15% Off Regular price ₹659. Discounted price ₹560. 15% Off.  Enjoy Free Gift  ( 119120 )","FEATURED, BESTSELLER",659,3 Sizes
Hyphen 18% Brightening + 20% Collagen Double Serum ₹552 15% Off Regular price ₹649. Discounted price ₹552. 15% Off. ( 4095 ),"FEATURED, BESTSELLER",649,
Minimalist Niacinamide 05% Face Serum ₹569 5% Off Regular price ₹599. Discounted price ₹569. 5% Off.  Enjoy Complimentary Gift  ( 31454 ),FEATURED,599,
"d'Alba piedmont White Truffle First Spray Serum, Vegan, Non ... ₹1710 10% Off Regular price ₹1900. Discounted price ₹1710. 10% Off. ( 1029 )","FEATURED, BESTSELLER",1900,2 Sizes
The Derma Co 10% Niacinamide Face Serum For Acne Marks ₹509 15% Off Regular price ₹599. Discounted price ₹509. 15% Off. ( 68911 ),FEATURED,599,3 Sizes
The Pink Foundry Dark Spot & Hyperpigmentation Face Serum ₹404 10% Off Regular price ₹449. Discounted price ₹404. 10% Off.  Extra 5% Off  ( 2602 ),"FEATURED, NEW",449,
"Olay 7in1 Serum with Niacinamide, Vitamin C, Collagen Peptid... ₹599 25% Off Regular price ₹799. Discounted price ₹599. 25% Off. ( 731 )",FEATURED,799,
Uriage Depiderm 20% Vitamin C Anti-Dark Spot Serum Reduces H... ₹3000 ( 19 ),FEATURED,3000,
Quench 96% Snail Mucin Collagen Boost Serum ₹494 10% Off Regular price ₹549. Discounted price ₹494. 10% Off. ( 1355 ),FEATURED,549,
Aestura Theracne365 Active Serum ₹2250 10% Off Regular price ₹2500. Discounted price ₹2250. 10% Off. ( 7 ),FEATURED,2500,
The Ordinary Niacinamide 10% + Zinc 1% ₹600 ( 157151 ),"AD, BESTSELLER",600,2 Sizes
"Celimax The Vita-A Retinal Shot Tightening Booster, For Anti... ₹2199 ( 1331 )",BESTSELLER,2199,
COSRX Advanced Snail 96 Mucin Power Essence ₹1305 10% Off Regular price ₹1450. Discounted price ₹1305. 10% Off. ( 59795 ),BESTSELLER,1450,
Minimalist 10% Vitamin C Serum For Face For Glowing Skin ₹664 5% Off Regular price ₹699. Discounted price ₹664. 5% Off.  Enjoy Complimentary Gift  ( 88347 ),BESTSELLER,699,2 Sizes
"Dot & Key 10% Vitamin C + E Face Serum With 5% Niacinamide, ... ₹429 14% Off Regular price ₹499. Discounted price ₹429. 14% Off. ( 52640 )","AD, BESTSELLER",499,2 Sizes
Eucerin Anti-Pigment Dual Serum With Thiamidol & Hyaluronic ... ₹3402 10% Off Regular price ₹3780. Discounted price ₹3402. 10% Off.  Extra 10% Off  ( 552 ),BESTSELLER,3780,
"Anua Niacinamide 10 Txa 4 Serum, Brightening Korean Serum Fo... ₹1800 10% Off Regular price ₹2000. Discounted price ₹1800. 10% Off. ( 1012 )",BESTSELLER,2000,
Minimalist 10% Niacinamide Face Serum With Matmarine + Zinc ... ₹569 5% Off Regular price ₹599. Discounted price ₹569. 5% Off.  Enjoy Complimentary Gift  ( 123159 ),BESTSELLER,599,3 Sizes
Estee Lauder Advanced Night Repair Synchronized Multi-Recove... ₹4500  Get Complimentary Product  ( 55686 ),"AD, BESTSELLER",4500,5 Sizes
SKIN1004 Madagascar Centella Tone Brightening Capsule Serum ₹899 10% Off Regular price ₹999. Discounted price ₹899. 10% Off. ( 3011 ),BESTSELLER,999,3 Sizes
Minimalist 2% Salicylic Acid Face Serum For Blackheads & Whi... ₹522 5% Off Regular price ₹549. Discounted price ₹522. 5% Off.  Enjoy Complimentary Gift  ( 73991 ),,549,3 Sizes
The Ordinary AHA 30% + BHA 2% Peeling Solution ₹950 ( 23257 ),,950,
The Derma Co 10% Vitamin C Face Serum Reduces Pigmentation &... ₹558 14% Off Regular price ₹649. Discounted price ₹558. 14% Off. ( 33970 ),AD,649,3 Sizes
Minimalist 2% Alpha Arbutin Face Serum With Butylresorcinol ... ₹522 5% Off Regular price ₹549. Discounted price ₹522. 5% Off.  Enjoy Complimentary Gift  ( 62698 ),,549,2 Sizes
The Derma Co 2% Kojic Acid Face Serum for Dark spots reducti... ₹439 12% Off Regular price ₹499. Discounted price ₹439. 12% Off. ( 33229 ),,499,
Asaya Depigmentation Underarm Spray for Dark Underarms with ... ₹424 15% Off Regular price ₹499. Discounted price ₹424. 15% Off. ( 973 ),,499,
Beauty Of Joseon Glow Deep Serum For Pigmentation - Rice + A... ₹1480  Enjoy Free Gift  ( 1962 ),AD,1480,
Plum 15% Vitamin C Glow Face Serum - Dermat Tested To Fight ... ₹600 24% Off Regular price ₹790. Discounted price ₹600. 24% Off.  Enjoy Free Gift  ( 136926 ),,790,3 Sizes
"La Roche-Posay Mela B3 Serum, For Anti-Dark Spots & Pigmente... ₹3300 ( 138 )",,3300,
Pilgrim 10% Vitamin C Face Serum For Daily Brightness ₹497 23% Off Regular price ₹645. Discounted price ₹497. 23% Off. ( 3747 ),,645,2 Sizes
Dot & Key Strawberry Bright 10% Niacinamide Face Serum ₹497 17% Off Regular price ₹599. Discounted price ₹497. 17% Off. ( 3830 ),AD,599,2 Sizes
BEST IN BEAUTY Minimalist 10% Vitamin C Serum For Face For Glowing Skin For... ₹284 5% Off Regular price ₹299. Discounted price ₹284. 5% Off.  Enjoy Complimentary Gift  ( 88347 ),,299,
The Ordinary Multi-Peptide + Copper Peptides 1% Serum ₹2950 ( 1181 ),,2950,
Cetaphil BHR Perfecting Serum ₹1885 18% Off Regular price ₹2299. Discounted price ₹1885. 18% Off. ( 3855 ),,2299,2 Sizes
"CeraVe Resurfacing Retinol Serum, Reduces Acne Marks with Li... ₹1350 10% Off Regular price ₹1500. Discounted price ₹1350. 10% Off. ( 154 )",AD,1500,
Dot & Key CSMS Vitamin C Bestseller Combo ₹1387 20% Off Regular price ₹1734. Discounted price ₹1387. 20% Off. ( 332914 ),,1734,
The Ordinary Hyaluronic Acid 2% + B5 ₹1000 ( 29042 ),,1000,2 Sizes
Minimalist Retinol 0.3% Face Serum ₹569 5% Off Regular price ₹599. Discounted price ₹569. 5% Off.  Enjoy Complimentary Gift  ( 37320 ),,599,2 Sizes
Chemist at Play 10% Vitamin C Face Serum Brightens Skin Trea... ₹569 29% Off Regular price ₹799. Discounted price ₹569. 29% Off. ( 2054 ),AD,799,2 Sizes
Minimalist Niacinamide 05% Face Serum ₹569 5% Off Regular price ₹599. Discounted price ₹569. 5% Off.  Enjoy Complimentary Gift  ( 31454 ),,599,1 Size
"VILVAH Milk Drops Skin Brightening Serum With Rice Milk, Mar... ₹608 5% Off Regular price ₹640. Discounted price ₹608. 5% Off. ( 3200 )",,640,
The Ordinary Azelaic Acid Suspension 10% ₹1150 ( 3737 ),,1150,
Charlotte Tilbury Collagen Superfusion Face Oil ₹8850  Enjoy Complimentary Gift  ( 127 ),AD,8850,2 Sizes
BEST IN BEAUTY L'Oreal Paris Glycolic Bright 8% [Melasyl + Niacinamide] Fac... ₹539 28% Off Regular price ₹749. Discounted price ₹539. 28% Off. ( 25994 ),,749,2 Sizes
AXIS-Y Dark Spot Correcting Glow Serum ₹1550 ( 728 ),,1550,
L'Oreal Paris Revitalift Hydrating Serum With 1.5 % Hyaluron... ₹799 20% Off Regular price ₹999. Discounted price ₹799. 20% Off. ( 137649 ),,999,2 Sizes
Minimalist Copper Peptide + PDRN 1.25% Serum 10ml ₹664 5% Off Regular price ₹699. Discounted price ₹664. 5% Off.  Enjoy Complimentary Gift  ( 117 ),AD,699,
"Deconstruct 10% Vitamin C Face Serum with 0.5% Ferulic Acid,... ₹615 23% Off Regular price ₹799. Discounted price ₹615. 23% Off. ( 16309 )",,799,2 Sizes
Foxtale Eternal Light Gluta - Vit C Advanced Brightening Ser... ₹548 15% Off Regular price ₹645. Discounted price ₹548. 15% Off.  Offer Available  ( 1353 ),,645,
Minimalist Hyaluronic + Pga 02% Face Serum Mini ₹569 5% Off Regular price ₹599. Discounted price ₹569. 5% Off.  Enjoy Complimentary Gift  ( 39265 ),NEW,599,2 Sizes
Klairs Freshly Juiced Vitamin Drop - Pure Vitamin C Serum ₹1413 10% Off Regular price ₹1570. Discounted price ₹1413. 10% Off. ( 12975 ),AD,1570,
Minimalist Vitamin C + E + Ferulic 16% Face Serum ₹569 5% Off Regular price ₹599. Discounted price ₹569. 5% Off.  Enjoy Complimentary Gift  ( 27354 ),NEW,599,2 Sizes
Hyphen Golden Hour Glow Serum 56% Glow Hyphened All Skin Typ... ₹591 9% Off Regular price ₹649. Discounted price ₹591. 9% Off. ( 3483 ),,649,
Foxtale Brightening Vitamin C Face Serum With L-Ascorbic Aci... ₹516 20% Off Regular price ₹645. Discounted price ₹516. 20% Off.  Offer Available  ( 12977 ),,645,
Medicube Glutathione Glow Serum ₹2375 5% Off Regular price ₹2500. Discounted price ₹2375. 5% Off. ( 3 ),"AD, NEW",2500,
The Ordinary Alpha Arbutin 2% + HA Face Serum ₹1200 ( 453 ),,1200,
Beauty Of Joseon Glow Serum - Propolis + Niacinamide ₹1490  Enjoy Free Gift  ( 1646 ),,1490,
The Ordinary Salicylic Acid 2% Solution ₹600 ( 19058 ),,600,
Outshine Korean Glass Skin Serum - Brightening & Dark Spot C... ₹781 44% Off Regular price ₹1395. Discounted price ₹781. 44% Off. ( 691 ),AD,1395,
Minimalist 3% Tranexamic Acid Face Serum For Melasma- Acne S... ₹617 5% Off Regular price ₹649. Discounted price ₹617. 5% Off.  Enjoy Complimentary Gift  ( 10098 ),,649,
Minimalist Daily Skincare Routine For Oily & Acne Prone Skin... ₹1481 10% Off Regular price ₹1646. Discounted price ₹1481. 10% Off.  Enjoy Complimentary Gift  ( 454144 ),,1646,
